Angle,Curvature,Velocity,Accelearation,target
8.714808464,2.851891494,0.000212131,9.89E-05,0
8.714808464,2.851891494,0.000212131,9.89E-05,0
12.25448555,5.332257066,0.000916175,0.000240411,0
3.587888653,2.123500339,0.000158641,7.22E-05,0
14.78934951,5.827840803,0.00135293,0.000288876,0
3.297422586,2.068214295,0.000232351,0.00024258,0
2.775422696,1.690774088,7.89E-05,5.63E-05,0
16.71122641,11.25260687,0.001492572,0.000536809,0
9.225186587,5.698784892,0.000548581,0.000345259,0
34.9884204,11.29829134,0.003261337,0.00077059,0
39.42133928,11.9579048,0.009450135,0.007864199,0
9.962618953,12.1911042,0.00054537,0.000251062,0
9.665546429,6.930165556,0.001128381,0.000460014,0
16.44316967,5.586057691,0.005640976,0.000825815,0
13.90136082,3.248347779,0.00551281,0.000533736,0
19.71655676,3.310569902,0.000902978,0.000149288,0
17.70343944,12.80331465,0.002527925,0.002676646,0
79.19400243,1.129233407,0.005187183,0.000267289,0
11.5180133,5.423473617,0.002719628,0.000322867,0
33.46328501,6.985537102,0.008520122,0.010274141,0
23.05570873,5.635422599,0.003435019,0.002424367,0
27.82710659,24.07906953,0.000567477,0.000402546,0
23.05570873,5.635422599,0.003435019,0.002424367,0
29.89448171,21.76508715,0.001821326,0.00235249,0
13.99304668,28.07679346,0.002419909,0.004145914,0
24.40604732,18.44131263,0.003868783,0.005519528,0
20.6107998,18.66523022,0.001135992,0.001736082,0
33.78086696,15.13624182,0.000655514,0.000972773,0
41.11962658,17.53206905,0.000992975,0.001225107,0
37.32339824,14.39748167,0.002631147,0.003731091,0
11.45603823,6.301412985,0.004746016,0.004127501,0
8.298075768,3.036071159,0.017197622,0.001412165,0
11.58440223,22.68869446,0.00063684,0.000638019,0
31.05884812,6.666756606,0.001443531,0.000346469,0
57.13977413,8.9729266,0.001826129,0.001135182,0
42.23729574,8.347334268,0.000572415,6.25E-05,0
10.25039048,21.40499597,0.000416146,0.000404836,0
23.56345582,13.24625788,0.003134864,0.003426252,0
40.04700145,11.01659256,0.002383191,0.000532558,0
13.89090386,10.7052641,0.001247309,0.000905529,0
51.68107889,5.701855197,0.002251452,0.000970254,0
15.03829459,5.611952821,0.001719433,0.000165787,0
12.47771217,15.42080477,0.000818507,0.000336324,0
40.89024074,14.79328499,0.006690055,0.007132353,0
28.89551538,13.39094851,0.001250247,0.000305119,0
35.03832964,14.23632295,0.004769942,0.004396788,0
32.1078062,7.909543179,0.003660053,0.0010253,0
32.7538948,18.93142371,0.0017697,0.001566368,0
35.71810362,15.11419943,0.000523292,0.000205837,0
10.46516945,6.356998736,0.002068464,0.00023455,0
39.97891015,16.17484008,0.001752935,0.003226239,0
48.1038222,10.47062602,0.007549957,0.010814378,0
47.12791684,4.549294219,0.001363773,0.000321591,0
27.15548569,11.88011523,0.002666148,0.002632047,0
43.56865267,10.39790203,0.003747632,0.004162963,0
38.14910197,13.54871658,0.010901051,0.016935557,0
36.68254817,13.26172763,0.007725971,0.010665835,0
25.17423712,16.00296835,0.001879234,0.000556876,0
23.61973789,14.37432845,0.002825241,0.002440874,0
14.92290394,24.16186679,0.00028001,0.000279125,0
68.27729023,9.373617238,0.003527373,0.003560069,0
42.14363462,12.15600832,0.015413411,0.02747378,0
48.40814191,9.10104975,0.007668975,0.011324534,0
27.37358757,13.25372136,0.012822446,0.022441378,0
36.61645751,12.76167444,0.024397067,0.045375726,0
25.50078935,11.61012686,0.009442118,0.014170345,0
28.77608065,15.64856859,0.007096235,0.006508124,0
30.00842136,24.60858742,0.012991445,0.023055722,0
20.20017138,3.731696838,0.002232028,0.000184132,0
15.82302407,12.40768671,0.004515256,0.00531509,0
30.15038136,19.70577134,0.006103506,0.006253485,0
32.60059707,12.9383932,0.006866656,0.005984535,0
13.0206498,6.254860158,0.004047781,0.004884737,0
4.489039228,0.511346681,0.025424999,0.005237472,0
32.92907548,12.55301279,0.004300152,0.002787729,0
25.55874763,9.825808801,0.001268218,0.000336834,0
51.09705342,15.47181349,0.013840879,0.009902244,0
6.819288525,2.562055142,0.000479956,0.000130471,0
65.05249795,10.56421526,0.010207119,0.009234934,0
4.041655704,1.712828977,0.000252412,0.000102274,0
28.36593771,22.2272837,0.001036229,0.000553662,0
30.05440152,19.34114591,0.001690751,0.000482316,0
46.49548837,13.7151689,0.006677473,0.005887422,0
50.92826823,10.82055916,0.003548019,0.000770232,0
16.32448209,13.04369395,0.004186323,0.00275078,0
42.40404023,13.6826971,0.001960171,0.001559148,0
30.81196759,7.853573677,0.001833012,0.000751313,0
26.51966212,9.792885625,0.00274417,0.000723446,0
34.23001205,27.64105625,0.000288001,0.000375974,0
34.7187557,0.570055553,5.29E-05,3.44E-07,0
28.98911688,3.536422314,0.011349953,0.012535674,0
35.98746071,1.558501668,0.000764313,3.44E-05,0
69.07689151,6.318112886,0.001618541,0.000769887,0
42.23892758,42.44238733,0.015079563,0.016378073,0
55.5961402,0.917860256,0.001059965,1.76E-05,0
54.33482534,22.1986824,0.011983893,0.017268729,0
71.20685915,4.370583537,0.000932417,8.14E-05,0
34.83377972,7.795138434,0.020011007,0.019214678,0
22.39517107,1.517622862,0.001147908,7.86E-05,0
40.65677577,30.33372908,0.012412286,0.015520318,0
48.4494526,5.711955074,0.005190689,0.00750178,0
24.54807814,1.503148439,0.006507003,0.008481443,0
15.33736419,7.862999219,0.008143196,0.01258877,0
23.15081849,1.935975586,0.001528103,9.73E-05,0
16.6463753,0.068955706,2.83E-05,8.94E-08,0
39.05113908,3.253476446,0.004020958,0.00557849,0
29.39852749,46.92639394,0.009447211,0.015128182,0
11.35476667,1.824731368,0.001646262,0.000994592,0
67.19614151,0.142548141,7.77E-05,1.87E-07,0
41.58949066,12.30643201,0.022337518,0.022093626,0
53.61055099,37.18399132,0.027680856,0.040757291,0
49.78489864,3.436789606,0.001845501,0.000291184,0
41.80474893,6.312427074,0.000648294,0.000374156,0
21.44381902,0.642864425,0.000558999,1.55E-05,0
42.70998096,2.974121496,0.000205898,1.31E-05,0
22.00938657,2.452971993,0.00547054,0.006331008,0
22.39314168,38.78715477,0.007723682,0.009838451,0
45.05668365,1.550473432,0.00155242,0.000133952,0
63.78194645,4.097608823,0.001199054,6.78E-05,0
32.48770686,64.39498244,0.020214509,0.032234487,0
38.08874629,35.26170095,0.021543675,0.032925921,0
31.60627803,1.594638614,0.001500304,0.00042613,0
66.12033322,2.391933201,0.001467655,0.000129851,0
52.86658959,101.2906092,0.005452454,0.009424914,0
33.7352532,0.851131253,0.000700813,1.15E-05,0
46.65194396,43.59807195,0.024155732,0.040031852,0
32.51297111,5.350348907,0.007560319,0.006932331,0
30.18935358,3.930274587,0.007619819,0.006027622,0
26.45816022,26.31813996,0.009426426,0.009361355,0
40.16362307,2.022539201,0.000933786,3.04E-05,0
48.2843679,19.0004198,0.010803481,0.014226965,0
75.64162585,1.029712105,0.000186579,5.81E-06,0
5.525358763,0.269822382,0.001405949,5.21E-06,0
45.16591171,64.99066283,0.020916208,0.03594043,0
18.97204632,1.292402815,0.003313652,0.002123444,0
10.39822581,1.373251332,0.003543245,0.001985005,0
53.3053721,42.68322996,0.028289518,0.044375837,0
51.17457822,0.580645645,5.78E-07,3.84E-09,0
35.80140507,2.273653132,0.003329981,0.001395933,0
32.64101688,43.10587238,0.009181337,0.012000816,0
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
